date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:30:28	72385/72385	---M-Z	200	added ('OK')	text/html	etag:%22b8c3100-11ac1-60135c11f472f-gzip%22	https://codervent.com/gum/nikon/demo/vertical/ltr/index.html	/home/amanda/websites/Nikon/codervent.com/gum/nikon/demo/vertical/ltr/index.html	(from )
17:30:30	98/98	---M-Z	200	added ('OK')	text/plain	etag:%22b8c3255-62-5fdb6110cf3db-gzip%22	https://codervent.com/robots.txt		(from )
17:30:30	1370/1370	---M--	200	added ('OK')	image/png	etag:%22b8c31f5-55a-60135c1ead0e7%22	https://codervent.com/gum/nikon/demo/vertical/ltr/assets/images/favicon-32x32.png	/home/amanda/websites/Nikon/codervent.com/gum/nikon/demo/vertical/ltr/assets/images/favicon-32x32.png	(from https://codervent.com/gum/nikon/demo/vertical/ltr/index.html)
17:30:54	6586/6586	---M-Z	200	added ('OK')	text/css	etag:%22bee10a7-19ba-60135d09c2bd4-gzip%22	https://codervent.com/gum/nikon/demo/vertical/ltr/assets/plugins/vectormap/jquery-jvectormap-2.0.2.css	/home/amanda/websites/Nikon/codervent.com/gum/nikon/demo/vertical/ltr/assets/plugins/vectormap/jquery-jvectormap-2.0.2.css	(from https://codervent.com/gum/nikon/demo/vertical/ltr/index.html)
17:30:55	2964/2964	---M-Z	200	added ('OK')	text/css	etag:%22bf0006e-b94-60135d689dd04-gzip%22	https://codervent.com/gum/nikon/demo/vertical/ltr/assets/plugins/simplebar/css/simplebar.css	/home/amanda/websites/Nikon/codervent.com/gum/nikon/demo/vertical/ltr/assets/plugins/simplebar/css/simplebar.css	(from https://codervent.com/gum/nikon/demo/vertical/ltr/index.html)
17:30:56	1819/1819	---M-Z	200	added ('OK')	text/css	etag:%22bf00062-71b-60135d6467ed7-gzip%22	https://codervent.com/gum/nikon/demo/vertical/ltr/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	/home/amanda/websites/Nikon/codervent.com/gum/nikon/demo/vertical/ltr/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	(from https://codervent.com/gum/nikon/demo/vertical/ltr/index.html)
17:30:58	1922/1922	---M-Z	200	added ('OK')	text/css	etag:%22bf00034-782-60135d5517412-gzip%22	https://codervent.com/gum/nikon/demo/vertical/ltr/assets/plugins/metismenu/css/metisMenu.min.css	/home/amanda/websites/Nikon/codervent.com/gum/nikon/demo/vertical/ltr/assets/plugins/metismenu/css/metisMenu.min.css	(from https://codervent.com/gum/nikon/demo/vertical/ltr/index.html)
17:30:59	1738/1738	---M-Z	200	added ('OK')	text/css	etag:%22b8c316c-6ca-60135c187fc00-gzip%22	https://codervent.com/gum/nikon/demo/vertical/ltr/assets/css/pace.min.css	/home/amanda/websites/Nikon/codervent.com/gum/nikon/demo/vertical/ltr/assets/css/pace.min.css	(from https://codervent.com/gum/nikon/demo/vertical/ltr/index.html)
17:31:01	12293/12293	---M-Z	200	added ('OK')	application/javascript	etag:%22b8c322d-3005-60135c2284372-gzip%22	https://codervent.com/gum/nikon/demo/vertical/ltr/assets/js/pace.min.js	/home/amanda/websites/Nikon/codervent.com/gum/nikon/demo/vertical/ltr/assets/js/pace.min.js	(from https://codervent.com/gum/nikon/demo/vertical/ltr/index.html)
17:31:02	232914/232914	---M-Z	200	added ('OK')	text/css	etag:%22b8c3167-38dd2-60135c16cf217-gzip%22	https://codervent.com/gum/nikon/demo/vertical/ltr/assets/css/bootstrap.min.css	/home/amanda/websites/Nikon/codervent.com/gum/nikon/demo/vertical/ltr/assets/css/bootstrap.min.css	(from https://codervent.com/gum/nikon/demo/vertical/ltr/index.html)
